Step,AvgWaitingTime,QueueLength,Throughput
0,0.0,4,0
1,0.0,0,0
2,0.0,0,0
3,0.0,2,0
4,0.0,0,0
5,0.0,0,0
6,0.0,3,0
7,0.0,0,0
8,0.0,1,0
9,0.0,2,0
10,0.0,0,0
11,0.0,0,0
12,0.0,3,0
13,0.0,0,0
14,0.0,0,0
15,0.0,2,0
16,0.0,1,0
17,0.05555555555555555,1,0
18,0.14285714285714285,5,0
19,0.23809523809523808,2,0
20,0.3333333333333333,2,0
21,0.43478260869565216,5,0
22,0.5652173913043478,3,0
23,0.7391304347826086,4,0
24,0.7777777777777778,8,0
25,0.9259259259259259,4,0
26,0.4444444444444444,4,0
27,0.2413793103448276,4,0
28,0.13793103448275862,2,0
29,0.14814814814814814,3,2
30,0.16666666666666666,6,0
31,0.2,2,0
32,0.26666666666666666,3,1
33,0.34375,5,0
34,0.4375,3,0
35,0.5806451612903226,4,1
36,0.6666666666666666,6,0
37,0.8484848484848485,7,1
38,1.0303030303030303,6,0
39,1.2121212121212122,7,1
40,1.3823529411764706,8,0
41,1.6470588235294117,10,1
42,1.8571428571428572,11,1
43,2.0555555555555554,10,0
44,2.4,10,1
45,2.764705882352941,10,1
46,3.0,13,1
47,3.4411764705882355,12,1
48,3.6857142857142855,13,0
49,3.9166666666666665,14,1
50,4.25,13,1
51,4.611111111111111,13,0
52,5.0,15,1
53,5.416666666666667,16,1
54,5.833333333333333,16,1
55,6.081081081081081,16,0
56,6.513513513513513,17,1
57,6.972972972972973,17,0
58,7.4324324324324325,18,1
59,7.918918918918919,18,0
60,8.405405405405405,19,1
61,8.68421052631579,21,1
62,9.45945945945946,20,1
63,10.027027027027026,21,0
64,10.342105263157896,24,1
65,10.921052631578947,23,1
66,11.205128205128204,23,0
67,11.24390243902439,26,0
68,11.853658536585366,26,1
69,12.487804878048781,26,0
70,13.146341463414634,28,1
71,13.804878048780488,27,0
72,14.119047619047619,28,0
73,14.44186046511628,30,1
74,15.093023255813954,28,0
75,16.11904761904762,28,1
76,16.3953488372093,29,0
77,17.046511627906977,28,0
78,17.295454545454547,30,1
79,17.954545454545453,30,1
80,18.613636363636363,29,0
81,19.272727272727273,29,0
82,19.488888888888887,30,0
83,20.155555555555555,31,1
84,20.369565217391305,31,0
85,20.574468085106382,31,0
86,21.67391304347826,30,1
87,22.347826086956523,31,0
88,22.0625,33,0
89,22.708333333333332,31,0
90,23.354166666666668,32,1
91,23.510204081632654,32,0
92,24.142857142857142,31,0
93,22.142857142857142,30,0
94,20.75,29,2
95,18.916666666666668,27,0
96,16.836734693877553,27,0
97,15.204081632653061,25,2
98,13.63265306122449,21,0
99,12.458333333333334,21,1
100,11.0625,20,0
101,9.833333333333334,19,0
102,8.6875,19,2
103,8.041666666666666,16,0
104,6.979166666666667,15,0
105,6.9375,18,2
106,6.020833333333333,14,0
107,5.1875,13,0
108,4.346938775510204,12,0
109,3.7142857142857144,12,1
110,3.020408163265306,10,1
111,2.3958333333333335,9,1
112,2.5510204081632653,11,0
113,1.8571428571428572,10,1
114,2.1041666666666665,10,1
115,2.382978723404255,11,1
116,2.617021276595745,12,1
117,2.872340425531915,13,1
118,3.1956521739130435,12,1
119,3.4782608695652173,14,1
120,3.8444444444444446,13,1
121,4.2272727272727275,13,1
122,4.568181818181818,16,1
123,5.023255813953488,15,1
124,5.372093023255814,16,1
125,5.744186046511628,17,1
126,6.261904761904762,16,1
127,6.829268292682927,17,1
128,7.2682926829268295,20,2
129,6.170731707317073,17,0
130,5.3,15,1
131,4.525,17,1
132,3.925,15,1
133,3.58974358974359,14,1
134,3.3333333333333335,14,1
135,3.1578947368421053,13,1
136,3.027027027027027,13,1
137,2.888888888888889,12,1
138,3.342857142857143,13,1
139,3.235294117647059,13,1
140,3.1515151515151514,12,1
141,3.09375,11,1
142,2.9375,11,1
143,2.84375,11,0
144,2.75,10,0
145,2.7419354838709675,10,2
146,3.032258064516129,9,0
147,3.1379310344827585,8,2
148,2.966666666666667,9,0
149,3.0714285714285716,7,2
150,3.3214285714285716,7,0
151,3.7037037037037037,8,2
152,3.962962962962963,7,0
153,4.384615384615385,8,2
154,4.481481481481482,8,0
155,4.923076923076923,7,1
156,5.0,8,0
157,5.2592592592592595,8,1
158,5.555555555555555,8,0
159,6.076923076923077,8,1
160,6.185185185185185,10,0
161,6.769230769230769,9,1
162,7.115384615384615,9,0
163,7.5,11,1
164,7.923076923076923,11,0
165,5.88,9,1
166,3.769230769230769,8,0
167,2.92,7,1
168,2.16,6,0
169,1.6,8,1
170,1.36,6,0
171,1.2083333333333333,6,1
172,1.0,6,0
173,0.875,5,1
174,0.8333333333333334,6,0
175,0.7916666666666666,6,1
176,0.8695652173913043,4,1
177,0.9565217391304348,5,0
178,1.173913043478261,6,1
179,1.2608695652173914,4,0
180,1.3043478260869565,4,0
181,1.5238095238095237,3,2
182,1.5909090909090908,4,0
183,1.7272727272727273,3,0
184,1.9523809523809523,3,1
185,2.0952380952380953,3,0
186,2.35,3,1
187,2.6315789473684212,3,1
188,2.9444444444444446,3,1
189,2.9473684210526314,4,0
190,3.2777777777777777,3,1
191,3.4444444444444446,3,0
192,3.611111111111111,4,1
193,4.0,3,1
194,4.176470588235294,3,0
195,4.352941176470588,4,1
196,4.529411764705882,3,0
197,5.0,3,1
198,4.882352941176471,4,0
199,5.375,3,1
200,5.5625,3,0
201,3.6875,3,1
202,1.8125,1,0
203,0.0,0,1
204,0.0625,2,0
205,0.13333333333333333,1,1
206,0.2857142857142857,2,1
207,0.4,3,0
208,0.5714285714285714,2,1
209,0.7857142857142857,3,0
210,1.0,4,1
211,1.2142857142857142,3,0
212,1.6153846153846154,4,1
213,1.8571428571428572,6,0
214,2.3846153846153846,5,1
215,2.8461538461538463,6,0
216,3.0714285714285716,7,0
217,3.5,6,0
218,4.3076923076923075,7,1
219,4.5,8,0
220,4.153846153846154,7,1
221,3.4615384615384617,6,0
222,2.8461538461538463,6,1
223,2.3846153846153846,5,0
224,1.8461538461538463,4,0
225,1.2142857142857142,4,0
226,0.8571428571428571,3,0
227,0.5,2,0
228,0.2,2,0
229,0.06666666666666667,1,0
230,0.0,0,0
231,0.0,1,0
232,0.0,0,0
233,0.0,0,0
234,0.0,1,0
235,0.0,0,0
236,0.0,0,1
237,0.0,1,0
238,0.0,0,1
239,0.0,0,0
240,0.0,1,1
241,0.0,0,0
242,0.0,0,1
243,0.0,1,0
244,0.0,0,1
245,0.0,0,1
246,0.0,1,0
247,0.0,0,1
248,0.0,0,0
249,0.0,1,1
250,0.0,0,0
251,0.0,0,1
252,0.0,1,0
253,0.0,0,0
254,0.0,0,1
255,0.0,1,0
256,0.0,0,1
257,0.0,0,1
258,0.0,1,0
259,0.0,0,1
260,0.0,0,0
261,0.0,1,1
262,0.0,0,0
263,0.0,0,1
264,0.0,1,0
265,0.0,0,1
266,0.0,0,0
267,0.0,1,1
268,0.0,0,0
269,0.0,0,1
270,0.0,1,0
271,0.0,0,1
272,0.0,0,0
273,0.0,1,1
274,0.0,0,0
275,0.0,0,0
276,0.0,1,0
277,0.0,0,0
278,0.0,0,1
279,0.0,0,0
280,0.0,0,1
281,0.0,0,0
282,0.0,0,1
283,0.0,0,0
284,0.0,0,1
285,0.0,0,0
286,0.0,0,0
287,0.0,0,1
288,0.0,0,0
289,0.0,0,0
290,0.0,0,1
291,0.0,0,0
292,0.0,0,0
293,0.0,0,1
294,0.0,0,0
295,0.0,0,1
296,0.0,0,0
297,0.0,0,0
298,0.0,0,0
299,0.0,0,1
